sampleID	N_leeches
VBC03-2-B	3
VBC05-1-B	1
VBC09-1-B	1
VBC09-2-B	1
VBC10-1-B	5
VBC10-2-B	3
VBC12-1-B	1
VBC13-2-B	3
VBC14-2-B	5
VBC17-1-B	4
VBC17-2-B	4
VBC21-1-B	10
VBC21-2-B	15
VBC23-2-B	1
VBC24-2-B	2
VBC25-1-B	3
VBC25-2-B	6
VBC27-2-B	1
VBC29-1-B	9
VBC29-2-B	13
VBC31-1-B	6
VBC31-2-B	4
VBC32-1-B	2
VBC32-2-B	11
VBC34-2-B	2
VBC38-1-B	1
VBC39-1-B	17
VBC39-2-B	9
VBC40-2-B	3
VBC41-1-B	5
VBC41-2-B	9
VBC47-1-B	12
VBC47-2-B	2
VBC48-1-B	8
VBC48-2-B	12
VBF01-2-B	3
VBF02-2-B	2
VBF02-3-B	1
VBF03-2-B	2
VBF04-2-B	5
VBF05-3-B	1
VBF07-2-B	2
VBF07-3-B	1
VBF09-1-B	1
VBF09-2-B	11
VBF10-2-B	6
VBF11-1-B	9
VBF11-2-B	6
VBF12-2-B	2
VBF13-1-B	7
VBF13-3-B	4
VBF14-2-B	9
VBF15-2-B	2
VBF16-1-B	7
VBF17-2-B	1
VBF17-3-B	2
VBF18-3-B	4
VBF19-2-B	2
VBF19-3-B	3
VBF21-3-B	2
VBF24-3-B	1
VBF26-2-B	1
VBF26-3-B	3
VBF27-2-B	3
VBF27-3-B	1
VBF29-2-B	4
VBF29-3-B	4
VBF30-1-B	2
VBF30-2-B	4
VBF30-3-B	10
VBF31-1-B	2
VBF31-3-B	4
VBF32-2-B	1
VBF33-2-B	9
VBF35-2-B	6
VBF36-3-B	3
VBF38-3-B	1
VBF39-3-B	3
VBF40-2-B	2
VBF41-1-B	1
VBF42-1-B	14
VBF42-2-B	7
VBF42-3-B	6
VBF43-2-B	1
VBF43-3-B	4
VBF44-1-B	1
VBF46-2-B	3
VBF46-3-B	1
VBF47-2-B	1
VBF48-2-B	1
VBF50-2-B	17
VBF50-3-B	10
VBF52-1-B	1
VBF52-3-B	2
VBF54-1-B	1
